"Week","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia"
"Jan 5, 2020","2020","Actual","14,758,724","16,882","72,139","14,647,021","0","22,679"
"Jan 12, 2020","2020","Actual","29,622,992","145,088","80,639","29,397,263","0","0"
"Jan 19, 2020","2020","Actual","34,643,375","727,882","101,039","33,791,772","0","22,679"
"Jan 26, 2020","2020","Actual","30,230,597","1,280,256","0","28,927,660","0","22,679"
"Feb 2, 2020","2020","Actual","20,599,873","1,226,734","0","19,373,138","0","0"
"Feb 9, 2020","2020","Actual","13,370,485","1,129,128","0","12,241,356","0","0"
"Feb 16, 2020","2020","Actual","23,003,275","2,384,605","0","20,618,669","0","0"
"Feb 23, 2020","2020","Actual","27,295,113","2,927,770","0","24,367,342","0","0"
"Mar 1, 2020","2020","Actual","25,489,974","4,438,598","0","21,051,375","0","0"
"Mar 8, 2020","2020","Actual","21,373,018","3,742,037","0","17,630,980","0","0"
"Mar 15, 2020","2020","Actual","21,790,490","1,754,931","0","20,012,879","22,679","0"
"Mar 22, 2020","2020","Actual","24,841,247","3,667,839","0","21,173,408","0","0"
"Mar 29, 2020","2020","Actual","16,431,614","3,775,546","0","12,656,068","0","0"
"Apr 5, 2020","2020","Actual","11,064,408","3,598,682","0","7,336,702","129,022","0"
"Apr 12, 2020","2020","Actual","11,314,894","1,413,008","0","9,837,374","64,511","0"
"Apr 19, 2020","2020","Actual","29,815,403","7,140,016","0","22,546,364","129,022","0"
"Apr 26, 2020","2020","Actual","32,142,196","7,680,479","0","24,397,205","64,511","0"
"May 3, 2020","2020","Actual","26,010,697","7,916,904","0","17,900,259","193,533","0"
"May 10, 2020","2020","Actual","31,213,735","7,871,218","0","22,955,448","387,067","0"
"May 17, 2020","2020","Actual","24,820,709","6,675,017","0","17,565,090","580,601","0"
"May 24, 2020","2020","Actual","23,555,958","7,536,867","0","15,137,435","881,654","0"
"May 31, 2020","2020","Actual","23,435,943","5,380,056","0","16,163,555","1,892,331","0"
"Jun 7, 2020","2020","Actual","24,640,121","5,555,358","0","15,402,500","3,638,870","43,391"
"Jun 14, 2020","2020","Actual","29,204,843","6,052,939","0","17,882,712","5,182,406","86,783"
"Jun 21, 2020","2020","Actual","29,766,704","6,239,079","0","17,937,685","5,504,963","84,975"
"Jun 28, 2020","2020","Actual","30,475,084","6,907,566","0","15,891,967","7,569,324","106,225"
"Jul 5, 2020","2020","Actual","25,046,120","5,343,331","0","12,073,018","7,545,239","84,529"
"Jul 12, 2020","2020","Actual","23,704,208","5,166,964","0","11,463,798","6,967,218","106,225"
"Jul 19, 2020","2020","Actual","25,187,185","4,594,958","0","13,237,170","7,268,271","86,783"
"Jul 26, 2020","2020","Actual","27,011,258","4,301,752","0","16,687,816","5,893,320","128,368"
"Aug 2, 2020","2020","Actual","27,936,294","4,218,923","0","17,448,968","6,116,530","151,871"
"Aug 9, 2020","2020","Actual","23,734,849","4,333,200","0","14,564,533","4,773,835","63,279"
"Aug 16, 2020","2020","Actual","20,562,991","3,943,294","0","12,812,569","3,698,647","108,479"
"Aug 23, 2020","2020","Actual","24,574,210","3,571,556","0","17,841,215","3,118,045","43,391"
"Aug 30, 2020","2020","Actual","22,098,016","3,853,037","0","15,713,819","2,472,932","58,226"
"Sep 6, 2020","2020","Actual","23,901,341","3,834,426","0","18,110,072","1,956,842","0"
"Sep 13, 2020","2020","Actual","22,808,594","2,696,919","23,039","19,013,446","1,075,188","0"
"Sep 20, 2020","2020","Actual","20,859,020","3,074,999","90,239","17,349,720","344,060","0"
"Sep 27, 2020","2020","Actual","25,411,229","2,696,299","250,048","22,421,873","43,007","0"
"Oct 4, 2020","2020","Actual","23,682,194","1,798,475","207,250","21,676,467","0","0"
"Oct 11, 2020","2020","Actual","25,825,140","1,094,090","183,923","24,547,125","0","0"
"Oct 18, 2020","2020","Actual","25,265,160","999,614","116,039","23,998,527","0","150,978"
"Oct 25, 2020","2020","Actual","25,112,584","895,680","59,519","24,006,404","0","150,978"
"Nov 1, 2020","2020","Actual","22,490,557","596,262","0","21,872,530","0","21,763"
"Nov 8, 2020","2020","Actual","19,471,123","741,608","0","18,664,426","0","65,087"
"Nov 15, 2020","2020","Actual","25,850,459","630,569","0","25,219,889","0","0"
"Nov 22, 2020","2020","Actual","23,443,687","562,002","0","22,881,684","0","0"
"Nov 29, 2020","2020","Actual","23,397,741","541,561","0","22,856,178","0","0"
"Dec 6, 2020","2020","Actual","21,936,864","453,582","0","21,483,280","0","0"
"Dec 13, 2020","2020","Actual","21,052,538","55,383","0","20,924,579","0","72,574"
"Dec 20, 2020","2020","Actual","24,158,163","0","0","24,158,162","0","0"
"Dec 27, 2020","2020","Actual","20,190,717","0","0","20,190,717","0","0"
"Jan 3, 2021","2020","Actual","20,344,847","0","0","20,344,846","0","0"
