Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
"Las Vegas",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1393533.26,1549970.36,0.110000000,1515517.00,1592310.85,0.050000000,1.087535578,1.027316968,-0.060000000
"Los Angeles",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",10974296.73,14107883.64,0.290000000,12589608.66,13471133.00,0.070000000,1.147190473,0.954865616,-0.170000000
Louisville,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",488178.80,579846.12,0.190000000,534044.31,585373.22,0.100000000,1.093952277,1.009532012,-0.080000000
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",2878153.81,4263645.87,0.480000000,3758096.45,4371303.45,0.160000000,1.305731625,1.025250122,-0.220000000
Nashville,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1140664.65,1268485.39,0.110000000,1140348.63,1215126.49,0.070000000,0.999722951,0.957934951,-0.040000000
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1217844.89,1433115.36,0.180000000,1346700.57,1462951.48,0.090000000,1.105806315,1.020819064,-0.080000000
"New York",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",7322015.30,8371742.33,0.140000000,10362830.36,10789717.82,0.040000000,1.415297556,1.288825838,-0.090000000
"Northern New England",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",2016254.10,2587904.80,0.280000000,2651882.11,3057187.05,0.150000000,1.315251937,1.181336752,-0.100000000
Orlando,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1739597.92,2452364.47,0.410000000,2211006.87,2451877.93,0.110000000,1.270987304,0.999801604,-0.210000000
Philadelphia,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",2024400.22,2614648.79,0.290000000,2838661.06,2943265.86,0.040000000,1.402223252,1.125683064,-0.200000000
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",5409028.72,6216465.53,0.150000000,4246758.95,4492269.24,0.060000000,0.785124127,0.722640417,-0.080000000
Pittsburgh,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",602791.97,614094.81,0.020000000,724709.33,700392.88,-0.030000000,1.202254453,1.140528903,-0.050000000
Portland,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",2484854.14,2995111.04,0.210000000,2982226.88,3382631.33,0.130000000,1.200161745,1.129384282,-0.060000000
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1501856.98,1833628.55,0.220000000,1888861.67,1916897.21,0.020000000,1.257684117,1.045411957,-0.170000000
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1268037.66,1532256.08,0.210000000,1449150.16,1439612.84,-0.010000000,1.142828960,0.939538018,-0.180000000
Roanoke,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",767844.44,951970.98,0.240000000,827593.91,889537.83,0.080000000,1.077814551,0.934416961,-0.130000000
Sacramento,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",2030091.06,2281890.07,0.120000000,2600500.56,2662135.80,0.020000000,1.280977298,1.166636305,-0.090000000
"San Diego",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1965279.70,2548147.30,0.300000000,2430301.38,2521798.23,0.040000000,1.236618574,0.989659519,-0.200000000
"San Francisco",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",3995937.39,4039188.11,0.010000000,4964932.25,5516757.09,0.110000000,1.242495006,1.365808410,0.100000000
Seattle,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",2506462.00,2786932.92,0.110000000,3373852.08,3836627.75,0.140000000,1.346061532,1.376648761,0.020000000
"South Carolina",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1804801.49,2266224.98,0.260000000,2140809.91,2316906.27,0.080000000,1.186174724,1.022363750,-0.140000000
Spokane,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",393645.33,450220.57,0.140000000,460957.20,548475.03,0.190000000,1.170996237,1.218236275,0.040000000
"St. Louis",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",846905.93,913357.15,0.080000000,1049095.06,1070474.37,0.020000000,1.238738593,1.172021668,-0.050000000
Syracuse,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",324632.93,415503.68,0.280000000,404341.48,471838.24,0.170000000,1.245534395,1.135581374,-0.090000000
Tampa,Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",1994647.79,2659930.99,0.330000000,2549953.30,2702749.24,0.060000000,1.278397777,1.016097504,-0.210000000
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",1,"2019-01-06 00:00:00",3889967.91,3943681.77,0.010000000,3463886.68,3421342.59,-0.010000000,0.890466647,0.867550373,-0.030000000
California,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",31118830.03,32495863.75,0.040000000,30223367.26,29965157.93,-0.010000000,0.971224408,0.922122217,-0.050000000
"Great Lakes",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",19138943.96,19859615.60,0.040000000,19718725.17,18535544.39,-0.060000000,1.030293271,0.933328457,-0.090000000
Midsouth,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",16118825.82,18296574.26,0.140000000,18249956.02,18137141.03,-0.010000000,1.132213737,0.991286170,-0.120000000
Northeast,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",23444337.22,25846958.65,0.100000000,30142989.78,29960983.14,-0.010000000,1.285725824,1.159168610,-0.100000000
Plains,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",9687530.99,10733104.87,0.110000000,10231004.85,9914636.03,-0.030000000,1.056100348,0.923743516,-0.130000000
"South Central",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",33246506.41,34041502.14,0.020000000,24553915.24,25049702.02,0.020000000,0.738541215,0.735857716,0.000000000
Southeast,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",21354894.94,26142234.12,0.220000000,22882382.48,24181972.01,0.060000000,1.071528684,0.925015509,-0.140000000
"Total U.S.",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",187263872.50,201786525.20,0.080000000,187003509.80,188091210.80,0.010000000,0.998609648,0.932129688,-0.070000000
West,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",33154002.75,34370671.36,0.040000000,31001169.01,32346074.07,0.040000000,0.935065646,0.941095207,0.010000000
Albany,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",545814.07,591660.96,0.080000000,727521.80,630650.25,-0.130000000,1.332911407,1.065898027,-0.200000000
Atlanta,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2866184.94,3389383.55,0.180000000,2723822.22,3002135.22,0.100000000,0.950330239,0.885746678,-0.070000000
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",3937254.03,4219776.22,0.070000000,5190680.32,5005780.89,-0.040000000,1.318350373,1.186266908,-0.100000000
Boise,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",424105.20,489350.03,0.150000000,485021.91,535384.63,0.100000000,1.143635848,1.094072948,-0.040000000
Boston,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2723635.72,3412752.90,0.250000000,3863481.98,3939714.01,0.020000000,1.418501730,1.154409395,-0.190000000
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",686299.82,828978.24,0.210000000,873197.13,951410.67,0.090000000,1.272326037,1.147690764,-0.100000000
Charlotte,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1188816.08,1391758.81,0.170000000,1440392.60,1430623.61,-0.010000000,1.211619378,1.027924953,-0.150000000
Chicago,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",4375773.15,3924021.80,-0.100000000,5414345.14,3834258.67,-0.290000000,1.237345940,0.977124712,-0.210000000
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1234459.48,1409956.39,0.140000000,1079849.38,1159318.99,0.070000000,0.874754820,0.822237481,-0.060000000
Columbus,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",977313.01,1037495.25,0.060000000,868583.58,917297.15,0.060000000,0.888746564,0.884145879,-0.010000000
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",6510963.52,7173485.60,0.100000000,4798684.34,4978355.82,0.040000000,0.737016008,0.693993980,-0.060000000
Denver,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",4277274.85,4228190.18,-0.010000000,4156807.21,4311230.78,0.040000000,0.971835422,1.019639750,0.050000000
Detroit,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2213900.08,2328835.22,0.050000000,1985302.84,2218855.99,0.120000000,0.896744554,0.952775006,0.060000000
"Grand Rapids",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",957735.44,1115014.66,0.160000000,1112721.05,1198422.47,0.080000000,1.161825076,1.074804227,-0.080000000
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1363803.60,1608591.23,0.180000000,1646676.42,1656280.99,0.010000000,1.207414631,1.029646910,-0.150000000
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1449728.37,1713760.34,0.180000000,2123051.90,2122700.58,0.000000000,1.464448061,1.238621603,-0.150000000
Houston,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",7510815.15,7119319.30,-0.050000000,4699568.03,4822842.07,0.030000000,0.625706789,0.677430224,0.080000000
Indianapolis,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1007691.60,1085387.26,0.080000000,897339.95,947438.16,0.060000000,0.890490652,0.872903336,-0.020000000
Jacksonville,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",988140.70,1188310.00,0.200000000,1093433.17,1121921.10,0.030000000,1.106556151,0.944131666,-0.150000000
"Las Vegas",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1647287.72,1725227.07,0.050000000,1628906.56,1529955.73,-0.060000000,0.988841561,0.886814122,-0.100000000
"Los Angeles",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",14455880.79,16000743.64,0.110000000,13116340.41,13174925.68,0.000000000,0.907335956,0.823394586,-0.090000000
Louisville,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",517231.68,637581.86,0.230000000,491954.26,552066.78,0.120000000,0.951129405,0.865875921,-0.090000000
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",3509428.06,4814684.65,0.370000000,3970484.95,4549639.41,0.150000000,1.131376647,0.944950654,-0.170000000
Nashville,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1185524.28,1252778.60,0.060000000,1089817.08,1120633.25,0.030000000,0.919270148,0.894518193,-0.030000000
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1499800.49,1640525.23,0.090000000,1382407.49,1323934.20,-0.040000000,0.921727589,0.807018494,-0.120000000
"New York",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",8829220.41,9057843.40,0.030000000,11441551.06,11195794.23,-0.020000000,1.295873308,1.236033097,-0.050000000
"Northern New England",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2339458.83,2738128.89,0.170000000,2828039.42,2948398.87,0.040000000,1.208843423,1.076793310,-0.110000000
Orlando,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2115675.40,2664460.94,0.260000000,2374846.31,2491358.05,0.050000000,1.122500318,0.935032679,-0.170000000
Philadelphia,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2524749.06,2622053.23,0.040000000,2945989.74,2952195.34,0.000000000,1.166844573,1.125909767,-0.040000000
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",6396397.22,6367358.72,-0.010000000,4062867.78,4291530.28,0.060000000,0.635180656,0.673989085,0.060000000
Pittsburgh,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",682698.04,659431.75,-0.030000000,747217.70,692319.33,-0.070000000,1.094506877,1.049872606,-0.040000000
Portland,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",3056218.92,3215536.19,0.050000000,3168992.99,3526748.58,0.110000000,1.036899866,1.096783980,0.060000000
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1579609.46,1821953.99,0.150000000,1840698.27,1796430.23,-0.020000000,1.165286937,0.985990996,-0.150000000
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1332711.24,1544221.06,0.160000000,1377312.91,1319786.33,-0.040000000,1.033466867,0.854661528,-0.170000000
Roanoke,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",851923.59,1031934.84,0.210000000,807899.97,859407.35,0.060000000,0.948324450,0.832811643,-0.120000000
Sacramento,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2559622.92,2350805.44,-0.080000000,2601018.28,2480836.18,-0.050000000,1.016172445,1.055313272,0.040000000
"San Diego",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2455977.68,2914337.29,0.190000000,2523228.80,2514700.56,0.000000000,1.027382627,0.862872176,-0.160000000
"San Francisco",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",4677350.69,4267344.98,-0.090000000,5001671.62,4975545.18,-0.010000000,1.069338596,1.165958038,0.090000000
Seattle,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2815535.55,3015062.95,0.070000000,3494627.69,3754801.17,0.070000000,1.241194660,1.245347521,0.000000000
"South Carolina",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",1968850.27,2343565.38,0.190000000,2168376.47,2265298.09,0.050000000,1.101341480,0.966603326,-0.120000000
Spokane,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",427990.83,480182.53,0.120000000,488971.14,542228.29,0.110000000,1.142480412,1.129212864,-0.010000000
"St. Louis",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",886997.12,930887.41,0.050000000,989692.32,972327.90,-0.020000000,1.115778504,1.044517188,-0.060000000
Syracuse,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",345095.74,412062.30,0.190000000,444922.06,455166.40,0.020000000,1.289271377,1.104605784,-0.140000000
Tampa,Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",2379760.92,2943022.21,0.240000000,2668152.01,2749727.35,0.030000000,1.121184900,0.934320965,-0.170000000
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",2,"2019-02-24 00:00:00",4251933.20,4392784.51,0.030000000,3423725.06,3335448.58,-0.030000000,0.805216098,0.759301662,-0.060000000
California,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",27110672.13,29346970.75,0.080000000,29656571.07,31786520.52,0.070000000,1.093907629,1.083127822,-0.010000000
"Great Lakes",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",16548667.41,19217618.97,0.160000000,20101340.93,18789525.38,-0.070000000,1.214680338,0.977723901,-0.200000000
Midsouth,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",16620297.85,17848473.85,0.070000000,18982648.67,18512282.37,-0.030000000,1.142136491,1.037191332,-0.090000000
Northeast,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",21819071.59,25624408.86,0.170000000,28227674.42,31314976.37,0.110000000,1.293715652,1.222076050,-0.060000000
Plains,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",9133339.10,10529243.58,0.150000000,10178014.01,10045655.81,-0.010000000,1.114380392,0.954071936,-0.140000000
"South Central",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",30039574.81,33242205.33,0.110000000,24979333.51,24176254.05,-0.030000000,0.831547506,0.727275877,-0.130000000
Southeast,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",20527846.81,24566263.35,0.200000000,23294864.63,24187805.18,0.040000000,1.134793378,0.984594394,-0.130000000
"Total U.S.",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",172118191.00,193172358.10,0.120000000,185552627.10,191179610.00,0.030000000,1.078053552,0.989684093,-0.080000000
West,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",30318720.97,32797173.46,0.080000000,30132179.89,32366590.42,0.070000000,0.993847330,0.986871337,-0.010000000
Albany,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",545890.39,578953.41,0.060000000,630076.44,706409.51,0.120000000,1.154217864,1.220149148,0.060000000
Atlanta,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",2727814.60,3213803.66,0.180000000,2783083.09,3059016.84,0.100000000,1.020261087,0.951836877,-0.070000000
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",4179901.98,4047930.18,-0.030000000,5223116.33,5108530.85,-0.020000000,1.249578664,1.262010614,0.010000000
Boise,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",384221.14,467678.14,0.220000000,461027.05,541806.93,0.180000000,1.199900271,1.158503859,-0.030000000
Boston,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",2937168.20,3304636.66,0.130000000,3689026.93,4239610.20,0.150000000,1.255980822,1.282927788,0.020000000
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",759068.16,876522.16,0.160000000,887328.19,979329.31,0.100000000,1.168970373,1.117289847,-0.040000000
Charlotte,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1248441.99,1438088.08,0.150000000,1523035.37,1471217.20,-0.030000000,1.219948850,1.023036920,-0.160000000
Chicago,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",3517648.79,3144746.22,-0.110000000,5191399.80,3622100.48,-0.300000000,1.475815270,1.151794207,-0.220000000
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1141530.21,1844527.04,0.620000000,1224354.96,1380876.15,0.130000000,1.072555898,0.748634268,-0.300000000
Columbus,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",959610.59,1083497.04,0.130000000,989827.63,965784.11,-0.020000000,1.031488856,0.891358328,-0.140000000
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",6094290.00,7177797.76,0.180000000,5005614.03,4850404.85,-0.030000000,0.821361312,0.675751116,-0.180000000
Denver,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",3779906.23,4365304.98,0.160000000,4004075.06,4266587.81,0.070000000,1.059305394,0.977385963,-0.080000000
Detroit,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1875599.66,2409197.07,0.280000000,2152313.28,2325406.64,0.080000000,1.147533413,0.965220599,-0.160000000
"Grand Rapids",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",735639.34,926316.35,0.260000000,1084728.51,1121462.36,0.030000000,1.474538474,1.210668861,-0.180000000
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1272739.40,1582392.55,0.240000000,1547486.17,1680646.76,0.090000000,1.215870405,1.062092184,-0.130000000
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1509028.20,1675296.94,0.110000000,2072587.48,2253494.33,0.090000000,1.373458415,1.345131288,-0.020000000
Houston,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",6302602.33,6956049.62,0.100000000,4499679.33,4410260.28,-0.020000000,0.713939908,0.634017944,-0.110000000
Indianapolis,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",909466.78,1131028.01,0.240000000,953072.00,986207.81,0.040000000,1.047945918,0.871957017,-0.170000000
Jacksonville,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",892824.36,1091813.78,0.220000000,1053222.15,1104159.80,0.050000000,1.179652121,1.011307807,-0.140000000
"Las Vegas",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1434734.52,1704940.52,0.190000000,1597063.12,1639212.50,0.030000000,1.113141907,0.961448497,-0.140000000
"Los Angeles",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",12421671.11,14061152.14,0.130000000,12812598.44,13995913.68,0.090000000,1.031471396,0.995360376,-0.040000000
Louisville,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",482166.12,552064.63,0.150000000,518690.30,551624.57,0.060000000,1.075750200,0.999202883,-0.070000000
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",3333074.28,4637559.61,0.390000000,4041781.64,4658969.79,0.150000000,1.212628733,1.004616691,-0.170000000
Nashville,Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1210481.80,1222123.07,0.010000000,1161718.67,1078773.77,-0.070000000,0.959715933,0.882704694,-0.080000000
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",1301915.16,1460714.64,0.120000000,1357422.26,1373822.24,0.010000000,1.042634959,0.940513775,-0.100000000
"New York",Avocados,Hass,"Last 04 Wks",3,"2019-03-24 00:00:00",7573763.02,9140355.05,0.210000000,10321428.27,11584048.97,0.120000000,1.362787328,1.267352188,-0.070000000
